resource,method,path,parameter,parameter_type,location,parameter_description
Lists,GET,/lists,,,,
Lists,POST,/lists,name,string,payload,The title of the list that is displayed in Affinity.
Lists,POST,/lists,type,integer,payload,"Type of the list (e.g., People = 0, Organizations = 1, Opportunities = 2)."
Lists,POST,/lists,is_public,boolean,payload,Whether the list is publicly visible within the workspace.
Lists,POST,/lists,owner_id,integer,payload (optional),User ID of the owner of the list.
Lists,POST,/lists,additional_permissions,object[],payload (optional),Permissions to assign to other users or groups.
Lists,GET,/lists/{list_id},list_id,integer,path,ID of the list the resource belongs to.
Lists,GET,/lists/{list_id}/list-entries,list_id,integer,path,ID of the list the resource belongs to.
Lists,GET,/lists/{list_id}/list-entries,page_size,integer,query (optional),Number of results per page for paginated endpoints.
Lists,GET,/lists/{list_id}/list-entries,page_token,string,query (optional),Token for paginated results to retrieve the next page.
Lists,POST,/lists/{list_id}/list-entries,list_id,integer,path,ID of the list the resource belongs to.
Lists,POST,/lists/{list_id}/list-entries,entity_id,integer,payload,"ID of the entity (person, organization, etc.) associated with the resource."
Lists,POST,/lists/{list_id}/list-entries,creator_id,integer,payload (optional),ID of the user creating the resource.
Lists,DELETE,/lists/{list_id}/list-entries/{list_entry_id},list_id,integer,path,ID of the list the resource belongs to.
Lists,DELETE,/lists/{list_id}/list-entries/{list_entry_id},list_entry_id,integer,path,ID of the specific list entry.
Fields,GET,/fields,list_id,integer,query (optional),ID of the list the resource belongs to.
Fields,GET,/fields,value_type,integer,query (optional),The value type of the fields that are to be retrieved.
Fields,GET,/fields,entity_type,integer,query (optional),Type of entity the resource is associated with.
Fields,GET,/fields,with_modified_names,boolean,query (optional),"When true, field names will return in the format [List Name] Field Name."
Fields,GET,/fields,exclude_dropdown_options,boolean,query (optional),"When true, dropdown options will not be returned in the response."
Fields,POST,/fields,name,string,payload,The name of the field.
Fields,POST,/fields,entity_type,integer,payload,Type of entity the resource is associated with.
Fields,POST,/fields,value_type,integer,payload,
Fields,POST,/fields,list_id,integer,payload (optional),ID of the list the resource belongs to.
Fields,POST,/fields,allows_multiple,boolean,payload (optional),
Fields,POST,/fields,is_list_specific,boolean,payload (optional),
Fields,POST,/fields,is_required,boolean,payload (optional),
Fields,DELETE,/fields/{id},id,integer,path,
Field Values,GET,/field-values,person_id,integer,query (custom*),ID of the person entity.
Field Values,GET,/field-values,organization_id,integer,query (custom*),ID of the organization entity.
Field Values,GET,/field-values,opportunity_id,integer,query (custom*),ID of the opportunity entity.
Field Values,GET,/field-values,list_entry_id,integer,query (custom*),ID of the specific list entry.
Field Values,POST,/field-values,field_id,integer,payload,ID of the custom field.
Field Values,POST,/field-values,entity_id,integer,payload,"ID of the entity (person, organization, etc.) associated with the resource."
Field Values,POST,/field-values,value,custom,payload,Value to assign to the field. Type depends on value_type.
Field Values,POST,/field-values,list_entry_id,integer,payload (optional),ID of the specific list entry.
Field Values,PUT,/field-values/{field_value_id},field_value_id,integer,path,ID of the specific field value.
Field Values,PUT,/field-values/{field_value_id},value,custom,payload,Value to assign to the field. Type depends on value_type.
